"mydate","v1","v2","v3","v4","v5","v6","mys"
"2020/09/11(五)","01","26","29","39","48","49","09"
"2020/09/08(二)","01","02","09","20","26","48","36"
"2020/09/04(五)","02","09","11","13","39","43","35"
"2020/09/01(二)","01","02","06","08","38","43","24"
"2020/08/28(五)","13","14","19","22","23","36","24"
"2020/08/25(二)","02","23","28","35","46","48","33"
"2020/08/21(五)","05","14","40","44","45","46","32"
"2020/08/18(二)","04","22","30","43","45","47","15"
"2020/08/14(五)","16","20","24","25","31","33","37"
"2020/08/11(二)","08","12","40","42","44","47","05"
"2020/08/07(五)","06","09","19","40","44","45","01"
"2020/08/04(二)","01","05","11","19","31","33","06"
"2020/07/31(五)","16","17","18","19","33","45","25"
"2020/07/28(二)","08","10","22","23","29","35","02"
"2020/07/24(五)","02","20","21","24","35","37","09"
"2020/07/21(二)","03","16","25","31","33","36","14"
"2020/07/17(五)","05","06","15","25","30","41","29"
"2020/07/14(二)","04","10","24","29","32","49","43"
"2020/07/10(五)","04","05","22","27","46","49","41"
"2020/07/07(二)","04","17","22","34","44","46","13"
"2020/07/03(五)","13","19","20","24","40","45","33"
"2020/06/30(二)","26","29","31","43","46","49","06"
"2020/06/26(五)","10","12","16","37","40","41","05"
"2020/06/23(二)","01","02","16","22","27","45","13"
"2020/06/19(五)","01","15","16","25","43","46","06"
"2020/06/16(二)","06","13","20","23","29","46","42"
"2020/06/12(五)","01","06","28","30","33","48","27"
"2020/06/09(二)","08","17","28","35","36","47","41"
"2020/06/05(五)","03","05","08","24","26","49","19"
"2020/06/02(二)","01","06","22","25","33","48","19"
"2020/05/29(五)","31","35","39","40","45","49","41"
"2020/05/26(二)","01","05","25","29","33","38","19"
"2020/05/22(五)","03","07","10","13","39","46","29"
"2020/05/19(二)","27","32","33","40","43","44","37"
"2020/05/15(五)","06","11","31","40","42","45","43"
"2020/05/12(二)","01","05","08","11","35","36","26"
"2020/05/08(五)","08","09","10","24","27","31","33"
"2020/05/05(二)","17","19","24","36","43","49","26"
"2020/05/01(五)","05","18","25","34","48","49","45"
"2020/04/28(二)","16","29","36","39","43","48","42"
"2020/04/24(五)","07","10","14","15","17","39","45"
"2020/04/21(二)","01","02","29","33","45","47","39"
"2020/04/17(五)","01","21","31","33","42","44","22"
"2020/04/14(二)","17","19","21","26","33","45","12"
"2020/04/10(五)","13","33","41","47","48","49","01"
"2020/04/07(二)","04","07","12","18","27","44","23"
"2020/04/03(五)","02","17","32","43","45","47","34"
"2020/03/31(二)","06","21","26","34","36","49","23"
"2020/03/27(五)","02","08","10","16","23","49","41"
"2020/03/24(二)","10","12","16","29","41","45","01"
"2020/03/20(五)","01","08","13","43","46","48","29"
"2020/03/17(二)","10","17","28","29","43","47","04"
"2020/03/13(五)","14","22","32","33","34","49","31"
"2020/03/10(二)","01","04","12","25","34","37","42"
"2020/03/06(五)","08","12","13","15","16","30","45"
"2020/03/03(二)","08","10","11","17","28","42","40"
"2020/02/28(五)","02","09","18","27","46","48","25"
"2020/02/25(二)","01","02","08","44","47","48","09"
